slno, Wall_1,Humid1, Wall_2,Humid2, Wall3,Humid3, Wall_4,Humid4, Outside, T_m, U_PID, Fanspeed
86,24,62,25,50,27,78,25,53,28,24.66666667,2.05,1
87,24,63,25,50,27,80,25,53,28,24.66666667,2.033333333,1
88,24,64,25,50,27,79,25,53,28,24.66666667,2.016666667,1
89,24,64,25,50,27,78,25,53,28,24.66666667,2,1
90,24,64,25,50,27,81,25,53,28,24.66666667,1.983333333,1
91,24,65,25,50,27,84,25,54,28,24.66666667,1.966666667,1
92,24,64,25,50,27,84,25,53,28,24.66666667,1.95,1
93,24,65,25,50,27,85,25,53,28,24.66666667,1.933333333,1
94,24,65,25,50,27,81,25,53,28,24.66666667,1.916666667,1
95,24,64,25,50,27,82,25,53,28,24.66666667,1.9,1
96,24,65,25,50,27,85,25,53,28,24.66666667,1.883333333,1
97,24,64,25,50,27,82,25,53,28,24.66666667,1.866666667,1
98,24,64,25,50,27,83,25,53,28,24.66666667,1.85,1
99,24,64,25,50,27,83,25,53,28,24.66666667,1.833333333,1
100,24,64,25,50,27,81,25,53,28,24.66666667,1.816666667,1
101,24,64,25,50,27,80,25,53,28,24.66666667,1.8,1
102,24,64,25,50,27,81,25,53,28,24.66666667,1.783333333,1
103,24,64,25,50,27,81,25,53,28,24.66666667,1.766666667,1
104,24,63,25,50,27,80,25,53,28,24.66666667,1.75,1
105,24,63,25,50,27,81,25,53,28,24.66666667,1.733333333,1
106,24,63,25,50,27,76,25,53,28,24.66666667,1.716666667,1
107,24,64,25,50,27,80,25,53,28,24.66666667,1.7,1
108,24,64,25,50,27,83,25,54,28,24.66666667,1.683333333,1
109,24,65,25,50,27,82,25,54,28,24.66666667,1.666666667,1
110,24,65,25,50,27,80,25,54,28,24.66666667,1.65,1
111,24,65,25,50,27,82,25,53,28,24.66666667,1.633333333,1
112,24,64,25,50,27,84,25,53,28,24.66666667,1.616666667,1
113,24,65,25,50,27,82,25,53,28,24.66666667,1.6,1
114,24,65,25,50,27,83,25,53,28,24.66666667,1.583333333,1
115,24,65,25,50,27,82,25,53,28,24.66666667,1.566666667,1
116,24,64,25,50,27,80,25,53,28,24.66666667,1.55,1
117,24,64,25,50,27,81,25,53,28,24.66666667,1.533333333,1
118,24,64,25,50,27,83,25,53,28,24.66666667,1.516666667,1
119,24,64,25,50,27,82,25,53,28,24.66666667,1.5,1
120,24,64,25,50,27,82,25,53,28,24.66666667,1.483333333,1
121,24,64,25,50,27,83,25,53,28,24.66666667,1.466666667,1
122,24,65,25,50,27,83,25,53,28,24.66666667,1.45,1
123,24,64,25,50,27,84,25,53,28,24.66666667,1.433333333,1
124,24,63,25,49,27,81,25,53,28,24.66666667,1.416666667,1
125,24,63,25,50,27,81,25,53,28,24.66666667,1.4,1
126,24,63,25,50,27,79,25,53,28,24.66666667,1.383333333,1
127,24,64,25,50,27,81,25,52,28,24.66666667,1.366666667,1
128,24,64,25,49,27,80,25,52,28,24.66666667,1.35,1
129,24,64,25,49,27,83,25,52,28,24.66666667,1.333333333,1
130,24,64,25,49,27,84,25,52,28,24.66666667,1.316666667,1
131,24,64,25,50,27,80,25,53,28,24.66666667,1.3,1
132,24,63,25,50,27,81,25,52,28,24.66666667,1.283333333,1
133,24,63,25,49,27,82,25,52,28,24.66666667,1.266666667,1
134,24,63,25,49,27,82,25,52,28,24.66666667,1.25,1
135,24,64,25,49,27,79,25,52,28,24.66666667,1.233333333,1
136,24,65,25,49,27,78,25,52,28,24.66666667,1.216666667,1
137,24,64,25,49,27,82,25,52,28,24.66666667,1.2,1
138,24,62,25,49,27,81,25,52,28,24.66666667,1.183333333,1
139,24,64,25,49,27,81,25,52,28,24.66666667,1.166666667,1
140,24,64,25,49,27,78,25,52,28,24.66666667,1.15,1
141,24,63,25,49,27,79,25,52,28,24.66666667,1.133333333,1
142,24,63,25,49,27,80,25,52,28,24.66666667,1.116666667,1
143,24,64,25,50,27,82,25,52,28,24.66666667,1.1,1
144,24,64,25,49,27,78,25,52,28,24.66666667,1.083333333,1
145,24,63,25,49,27,78,25,52,28,24.66666667,1.066666667,1
146,24,63,25,49,27,80,25,52,28,24.66666667,1.05,1
147,24,62,25,49,27,82,25,52,28,24.66666667,1.033333333,1
148,24,63,25,49,27,82,25,52,28,24.66666667,1.016666667,1
149,24,63,25,49,27,81,25,52,28,24.66666667,1,1
150,24,64,25,49,27,83,25,52,28,24.66666667,0.983333333,0.983333333
151,24,64,25,49,27,81,25,52,28,24.66666667,0.966666667,0.966666667
152,24,63,25,49,27,80,25,52,28,24.66666667,0.95,0.95
153,24,65,25,49,27,85,25,52,28,24.66666667,0.933333333,0.933333333
154,24,62,25,49,27,82,25,52,28,24.66666667,0.916666667,0.916666667
155,24,62,25,49,27,81,25,52,28,24.66666667,0.9,0.9
156,24,63,25,49,27,84,25,52,28,24.33333333,-0.633333333,0
157,24,63,25,49,27,83,25,52,28,24.33333333,-0.666666667,0
158,24,63,25,49,27,83,25,53,28,24.33333333,-0.7,0
159,24,64,25,49,27,82,25,52,28,24.66666667,0.783333333,0.783333333
160,24,62,25,49,27,81,25,52,28,24.66666667,0.766666667,0.766666667
161,24,63,25,49,27,79,25,52,28,24.66666667,0.75,0.75
162,24,63,25,50,27,79,25,52,28,24.66666667,0.733333333,0.733333333
163,24,64,25,50,27,80,25,52,28,24.66666667,0.716666667,0.716666667
164,24,63,25,50,27,79,25,52,28,24.66666667,0.7,0.7
165,24,64,25,50,27,77,25,52,28,24.66666667,0.683333333,0.683333333
166,24,64,25,50,27,79,25,52,28,24.66666667,0.666666667,0.666666667
167,24,63,25,50,27,79,25,52,28,24.66666667,0.65,0.65
168,24,63,25,50,27,79,25,52,28,24.66666667,0.633333333,0.633333333
169,23,64,25,50,27,79,25,52,28,24.66666667,0.616666667,0.616666667
170,23,63,25,50,27,81,25,52,28,24.66666667,0.6,0.6
171,23,63,25,50,27,84,25,52,28,24.66666667,0.583333333,0.583333333
172,23,63,25,50,27,80,25,52,28,24.66666667,0.566666667,0.566666667
173,23,62,25,50,27,82,25,52,28,24.66666667,0.55,0.55
174,23,62,25,50,27,81,25,52,28,24.66666667,0.533333333,0.533333333
175,23,62,25,50,27,82,25,52,28,24.66666667,0.516666667,0.516666667
176,23,62,25,50,27,84,25,53,28,24.66666667,0.5,0.5
177,23,62,25,49,27,82,25,53,28,24.66666667,0.483333333,0.483333333
178,23,62,25,49,27,83,25,53,28,24.66666667,0.466666667,0.466666667
179,23,62,25,49,27,81,25,52,28,24.66666667,0.45,0.45
180,23,61,25,49,27,80,25,52,28,24.66666667,0.433333333,0.433333333
181,23,62,25,49,27,81,25,53,28,24.66666667,0.416666667,0.416666667
182,23,62,25,49,27,82,25,53,28,24.66666667,0.4,0.4
183,23,62,25,49,27,81,25,52,28,24.66666667,0.383333333,0.383333333
184,23,60,25,49,27,83,25,52,28,24.66666667,0.366666667,0.366666667
185,23,61,25,49,27,84,25,52,28,24.66666667,0.35,0.35
186,23,63,25,49,27,82,25,52,28,24.66666667,0.333333333,0.333333333
187,23,63,25,49,27,81,25,52,28,24.66666667,0.316666667,0.316666667
188,23,62,25,49,27,81,25,52,28,24.66666667,0.3,0.3
189,23,61,25,49,27,80,25,52,28,24.66666667,0.283333333,0.283333333
190,23,60,25,49,27,79,25,51,28,24.33333333,-1.25,0
191,23,61,25,49,27,80,25,52,28,24.33333333,-1.283333333,0
192,23,62,25,49,27,80,25,52,28,24.33333333,-1.316666667,0
193,23,63,25,49,27,77,25,52,28,24.33333333,-1.35,0
194,23,63,25,48,27,81,25,52,28,24.33333333,-1.383333333,0
195,23,66,25,48,27,80,25,53,28,24.33333333,-1.416666667,0
196,23,65,25,49,27,80,25,54,28,24.33333333,-1.45,0
197,23,72,25,49,27,79,25,59,28,24.33333333,-1.483333333,0
198,23,72,25,49,27,86,25,62,28,24.33333333,-1.516666667,0
199,23,70,25,50,27,87,25,62,28,24.33333333,-1.55,0
200,23,71,25,51,27,88,25,63,28,24.33333333,-1.583333333,0
201,23,71,25,51,27,90,25,64,28,24.33333333,-1.616666667,0
202,23,73,25,51,27,89,25,64,28,24.33333333,-1.65,0
203,23,72,25,51,27,87,25,64,28,24.33333333,-1.683333333,0
204,23,72,25,52,27,89,25,64,28,24.33333333,-1.716666667,0
205,23,72,25,53,27,89,25,64,28,24.33333333,-1.75,0
206,23,69,25,53,27,88,25,64,28,24.33333333,-1.783333333,0
207,23,69,25,53,27,86,25,63,28,24.33333333,-1.816666667,0
208,24,69,25,53,27,84,25,63,28,24.66666667,-0.333333333,0
209,24,69,25,54,27,84,25,63,28,24.66666667,-0.35,0
210,24,70,25,55,27,86,25,63,28,24.66666667,-0.366666667,0
211,24,70,25,55,27,85,25,62,28,24.66666667,-0.383333333,0
212,24,70,25,55,27,85,25,62,28,24.66666667,-0.4,0
213,24,70,25,55,27,83,25,61,28,24.66666667,-0.416666667,0
214,24,70,25,55,27,83,25,61,28,24.66666667,-0.433333333,0
215,24,69,25,55,27,85,25,60,28,24.66666667,-0.45,0
216,24,69,25,55,27,84,25,60,28,24.66666667,-0.466666667,0
217,24,70,25,55,27,82,25,59,28,24.66666667,-0.483333333,0
218,24,70,25,54,27,82,25,59,28,24.66666667,-0.5,0
219,24,68,25,54,27,83,25,59,28,24.66666667,-0.516666667,0
220,24,67,25,54,27,84,25,58,28,24.66666667,-0.533333333,0
221,24,68,25,54,27,83,25,58,28,24.66666667,-0.55,0
222,24,67,25,54,27,83,25,58,28,24.66666667,-0.566666667,0
223,24,66,25,53,27,82,25,58,28,24.66666667,-0.583333333,0
224,24,67,25,53,27,83,25,57,28,24.66666667,-0.6,0
225,24,67,25,53,27,82,25,58,28,24.66666667,-0.616666667,0
226,24,67,25,53,27,81,25,57,28,24.66666667,-0.633333333,0
227,24,69,25,53,27,86,25,60,28,24.66666667,-0.65,0
228,24,69,25,53,27,87,25,63,28,24.66666667,-0.666666667,0
229,24,73,25,53,27,87,25,65,28,24.66666667,-0.683333333,0
230,24,73,25,53,27,87,25,64,28,24.66666667,-0.7,0
231,24,73,25,53,27,86,25,65,28,24.66666667,-0.716666667,0
232,24,73,25,54,27,88,25,65,28,24.66666667,-0.733333333,0
233,24,75,25,54,27,88,25,66,28,24.66666667,-0.75,0
234,24,76,25,54,27,89,25,67,28,24.66666667,-0.766666667,0
235,24,75,25,54,27,89,25,67,28,24.66666667,-0.783333333,0
236,24,75,25,55,27,87,25,67,28,25,0.716666667,0.716666667
237,24,74,25,56,27,89,25,67,28,25,0.716666667,0.716666667
238,24,72,25,57,27,84,25,66,28,25,0.716666667,0.716666667
239,24,72,25,57,27,85,25,66,28,25,0.716666667,0.716666667
240,24,72,25,58,27,85,25,65,28,25,-8.383333333,0
241,24,73,25,59,27,82,25,65,28,25,-8.483333333,0
242,24,72,25,59,27,84,25,64,28,25,-8.583333333,0
